population,suicides/100kpop,gdp_for_year($),gdp_per_capita($),suicides_no
17874410,157.82000000000005,415034227218,23219,2391
18130883,158.79000000000002,378215090694,20860,2458
18370058,144.68,394486709920,21474,2319
18608029,133.84,466294700058,25059,2156
18854551,133.76000000000002,611904253806,32454,2114
19109246,127.89000000000001,745521862833,39014,2117
19734430,130.25,851962785585,43171,2229
20120312,130.48999999999998,1052584601611,52315,2341
20529317,130.12,926448240318,45128,2337
20847547,132.64000000000001,1144260547873,54887,2420
20881910,133.21999999999997,1394280784778,66770,2392
21238909,139.57,1543411012580,72669,2580
21600180,138.78,1573696522007,72856,2608
21927587,149.07,1464955475994,66809,2891
22240785,154.18000000000004,1349034029453,60656,3027
7110115,384.81,69386774475,9759,2091
7119149,401.79999999999995,99036165210,13911,2139
7130006,405.88,124168442860,17415,2069
7144410,357.64,133339397080,18663,1851
7177666,359.32,133105805928,18544,1898
7231353,353.78,166463386663,23020,1825
7299728,355.4700000000001,173794177725,23808,1769
7375368,341.74000000000007,195078126346,26450,1759
7433569,347.9599999999999,190379720927,25611,1704
7462552,343.61999999999995,203535242742,27274,1776
7477030,348.0899999999999,241038283063,32237,1788
7493706,342.65,237250948791,31660,1779
7512589,297.5000000000001,212790348405,28325,1592
7533519,289.38,218259904402,28972,1559
7561609,280.3,217185787343,28722,1555
7592073,289.77,196799778883,25922,1588
7634560,261.90999999999997,197337879195,25848,1489
7683162,276.92,213377771504,27772,1553
7722033,257.06,261695778781,33889,1456
7773105,254.04,300904221505,38711,1422
7827461,235.24999999999997,315974418605,40367,1399
7869269,218.89999999999995,335998557270,42698,1297
7897272,217.31,388691445387,49218,1285
7925258,216.45000000000002,430294287388,54294,1267
7946894,213.22,400172297861,50356,1278
7968421,207.55000000000004,391892746545,49181,1264
7995146,211.49,431120310089,53923,1288
8031276,206.63,409425234155,50979,1276
8079615,212.12,430068712972,53229,1291
8141165,209.81999999999996,441885415806,54278,1314
8219386,194.62,382065930308,46484,1251
7484629,183.23,390799991147,46976,1201
6156800,24.609999999999996,8858006036,1439,114
6290600,32.230000000000004,8792365811,1398,134
6370400,34.78000000000001,4991350458,784,144
6442600,31.519999999999996,3973027397,617,119
6521200,12.040000000000001,3313739674,508,47
6605900,14.280000000000001,3052467522,462,49
6668100,17.830000000000002,3176749593,476,69
6711200,18.59,3962710163,590,107
7044400,10.669999999999998,4446396218,631,56
7106400,8.58,4581222442,645,54
7415250,14.410000000000002,5272617196,711,62
7518000,60.050000000000004,5707720391,759,317
7605700,19.419999999999998,6235795104,820,92
7674400,27.07,7276013032,948,129
7738250,18.33,8680472169,1122,108
7921100,11.830000000000002,33050343783,4172,55
203700,4.76,2320699900,11393,1
220900,13.59,2713999900,12286,3
243500,37.51,3092000000,12698,7
249300,10.6,3259000000,13073,3
254500,7.16,3429000000,13473,2
252438,9.82,3609000000,14297,3
255956,7.15,6332360000,24740,2
260125,11.09,6833220000,26269,3
264791,22.959999999999997,7683870000,29019,6
269738,40.660000000000004,8076470000,29942,11
276140,2.68,8317830000,30122,1
282555,9.969999999999999,8881160000,31432,3
288888,2.49,8870090000,30704,1
295237,5.93,9055290000,30671,2
301763,13.32,9836200000,32596,4
308499,5.640000000000001,10167250000,32957,2
314989,13.420000000000002,10618340000,33710,5
321447,12.490000000000002,10526000000,32746,4
327813,15.98,9981960000,30450,6
333869,58.32,10095760000,30239,10
338383,12.989999999999998,10070450000,29761,4
343558,11.84,10720500000,31204,5
348959,13.91,10627600000,30455,5
365900,20.119999999999997,3651861702,9980,11
363900,25.680000000000003,3392021011,9321,9
389700,24.8,3702393617,9501,14
529754,0.0,6349202394,11985,0
546008,0.0,6183776596,11325,0
565762,22.459999999999997,6621010372,11703,17
590594,32.73,9062906915,15345,29
624083,30.659999999999993,8976207713,14383,23
661010,27.68,9632155053,14572,25
702913,32.39,11074822074,15756,34
751559,54.21000000000001,13150166755,17497,42
819540,40.22,15968726862,19485,42
888543,27.18,18505053191,20826,28
964770,32.09,21730000000,22524,40
1024110,27.89,25710877660,25106,43
1092922,24.59,22938218085,20988,36
1139160,11.89,25713271277,22572,19
1103462,14.96,28776595745,26078,18
1201778,8.68,30749308511,25587,19
1214492,2.49,32539547872,26793,5
1213966,6.5200000000000005,33387712766,27503,9
231000,61.72,1417575550,6137,7
231600,36.73,1556321742,6720,8
233700,29.46,1713771321,7333,6
234800,57.39,1822815594,7763,12
236000,73.58,2015731029,8541,16
237000,121.22999999999999,2023318252,8537,16
237000,76.92999999999999,2007109829,8469,17
240000,63.53000000000001,1950900000,8129,14
239600,90.93,2046189032,8540,16
240300,67.08,2151295182,8953,14
241200,72.28999999999999,2261969870,9378,17
251133,37.13,3121500000,12430,10
252406,8.65,3116650000,12348,2
253353,0.0,3169600000,12511,0
254122,0.0,3274850000,12887,0
254925,7.79,3514350000,13786,3
255889,2.58,3897300000,15230,1
256883,45.38,4246600000,16531,9
258083,0.0,4523750000,17528,0
259414,2.31,4607300000,17760,1
260718,28.799999999999997,4434050000,17007,5
261927,7.62,4461650000,17034,3
263203,0.0,4660900000,17708,0
264270,0.0,4656350000,17620,0
265165,0.0,4612500000,17395,0
9408800,274.37,21650000000,2301,2085
9476200,297.64000000000004,18000000000,1899,2169
9570900,314.24000000000007,17037037037,1780,2424
9641100,365.11,16280991736,1689,2885
9653900,403.58,14932024169,1547,3153
9673600,404.00999999999993,13972676841,1444,3203
9684800,455.7099999999999,14756846154,1524,3627
9692100,446.49999999999994,14128408566,1458,3526
9694800,455.64,15222012660,1570,3556
9563200,450.36,12138486532,1269,3397
9543479,447.3,12736856828,1335,3483
9513587,419.6500000000001,12354820144,1299,3303
9469234,410.99999999999994,14594249023,1541,3291
9420691,444.86,17827791321,1892,3456
9244456,355.89000000000004,45277399814,4898,2659
9205746,352.15999999999997,60763483146,6601,2658
9169969,375.53999999999996,49209523810,5366,2743
8981193,331.97999999999996,57222490769,6371,2459
8947320,299.36,61757788945,6902,2172
8910240,273.32,75527984234,8477,1902
8906977,252.90999999999997,78813839984,8849,1741
9269600,332.04,86730038793,9356,2281
9287100,314.69,120661220336,12992,2202
9291300,327.76,150194077688,16165,2238
9319300,283.79999999999995,163167853538,17509,1996
9349200,284.8499999999999,165100094595,17659,1920
9369700,277.10999999999996,206430841502,22032,1895
9396600,264.02,211637816539,22523,1805
9428100,265.88,236038384442,25036,1878
9462900,300.46999999999997,225924679921,23875,2142
9497400,300.40000000000003,246194938751,25922,2131
9527100,285.90000000000003,289567323481,30394,2155
9557545,267.54,281358175896,29438,2013
9576223,284.73999999999995,254813599459,26609,2146
9620997,264.73999999999995,260601911536,27087,2019
9648277,230.70000000000002,260202429150,26969,1857
9674025,267.8,237904919845,24592,2143
9710055,261.22,237841968680,24494,2165
9758570,247.85999999999999,258860436665,26526,2076
9804122,248.72999999999996,319002821670,32538,2091
9848022,231.06000000000003,370885026074,37661,1987
9901014,231.75000000000003,387365750529,39124,2029
9962702,214.89999999999998,409813197842,41135,1935
10030266,208.56999999999996,471821105940,47040,1857
10100850,221.54000000000002,518625897173,51345,1999
10173366,218.35000000000002,484552792442,47630,2013
10211171,220.18,483548031197,47355,2013
10355126,226.70999999999998,527008453887,50893,2088
10442637,217.13,497884216569,47678,2026
10526149,201.55000000000004,520925468953,49489,1895
10578848,201.85000000000002,530770977634,50173,1899
10624356,196.66,455039563133,42830,1867
146800,19.369999999999997,227850000,1552,3
144069,31.41,276550000,1920,4
153088,5.16,363150000,2372,1
158000,29.7,413050000,2614,3
162200,23.93,444720750,2742,2
170800,6.49,559858250,3278,1
170874,164.73000000000002,580863700,3399,8
180500,143.96999999999997,620140400,3436,14
180926,61.290000000000006,641383800,3545,8
187650,5.77,654314350,3487,1
195108,81.77999999999999,688992450,3531,12
202699,83.71999999999998,732732350,3615,18
210109,160.80000000000004,832072450,3960,18
217279,151.7,871860600,4013,19
224136,69.62,932551850,4161,14
230890,59.00000000000001,990374050,4289,12
237791,117.38,1057845500,4449,20
245020,46.1,1114222550,4547,12
252826,37.92000000000001,1217467600,4815,11
260667,78.49,1290573400,4951,8
268487,86.36000000000001,1368625150,5098,11
276189,57.76,1336957250,4841,15
283796,61.47999999999999,1397113450,4923,15
291662,153.3,1487005600,5098,33
298946,73.44999999999999,1573670250,5264,18
305888,56.400000000000006,1612573850,5272,17
312780,90.95,1703951050,5448,24
319835,135.46,1778567600,5561,26
3673312,1.31,18644723861,5076,5
3654169,109.5,18558343508,5079,313
117478900,59.18,222942790435,1898,4228
118776400,57.16000000000001,268137224730,2257,4271
122822467,70.11999999999999,294084112393,2394,4672
125701294,65.36000000000001,330397381998,2628,4466
128570308,64.02,425595310000,3310,4463
131387553,67.05999999999999,461951782000,3516,4803
134281850,68.34000000000002,602860000000,4490,5156
137007021,64.92,400599250000,2924,5207
139615477,67.86,437798577640,3136,5508
142188450,71.51,558111997497,3925,5896
144783591,75.23999999999998,769305386183,5313,6536
147353130,73.33,850426432992,5771,6698
149932627,76.80000000000001,883199625325,5891,6891
152524311,75.05,863723411633,5663,6922
155122073,67.64999999999999,599388579986,3864,6507
157715991,68.22999999999999,655420645477,4156,6763
160178796,73.49000000000001,559372276082,3492,7710
162761414,69.77,507962487700,3121,7697
165396911,68.07000000000001,558319920832,3376,7839
167993068,70.22,669316654017,3984,7995
170483960,73.60000000000001,891630175813,5230,8529
172974722,69.89999999999999,1107640297890,6403,8618
175293192,71.67999999999999,1397084345950,7970,8855
177471632,72.21000000000001,1695824571927,9555,9184
179569551,70.37,1667019780934,9283,9346
181629712,72.73,2208871646203,12161,9429
183656441,72.41000000000001,2616201578192,14245,9822
185591215,74.45000000000002,2465188674415,13283,10295
187458852,73.41000000000001,2472806919902,13191,10513
189285554,73.13000000000001,2455993625159,12975,10631
191087085,77.45,1802214373741,9431,11163
8392500,303.11999999999995,17155421053,2044,1456
8391500,275.48,20249294118,2413,1408
8375400,308.3999999999999,28101000000,3355,1492
8389800,292.49000000000007,22555941176,2688,1452
8403200,292.19,21988444444,2617,1460
8418500,256.43,20632090909,2451,1323
8431900,268.94,10943548387,1298,1384
8041500,310.5999999999999,10350515464,1287,1519
8001000,278.36000000000007,10829710145,1354,1470
7995500,288.39,9697416974,1213,1464
7983900,277.85,13063422619,1636,1433
7963300,296.20000000000005,10109612142,1270,1526
7933900,276.36,11195612105,1411,1465
7899500,304.61,14630992956,1852,1503
7866600,250.70999999999998,13495075366,1715,1307
7829095,259.22,13153016531,1680,1383
7591926,244.62,14075616789,1854,1314
7544410,247.35,16276456428,2157,1317
7493166,207.65,20982685981,2800,1092
7447563,184.11999999999998,25957970922,3485,1013
7404051,178.06,29636617750,4003,982
7358508,186.53,34130122491,4638,977
7312474,173.77,44411476557,6073,902
7267511,170.34,54409138498,7487,939
7219817,154.42,51884481410,7186,868
7162740,158.25000000000006,50610058210,7066,859
7056527,133.51999999999998,57418414504,8137,763
6959652,164.17,53903022339,7745,872
6920644,134.16000000000003,55758754072,8057,721
6883874,139.77,56731990232,8241,724
452179,133.84,1864824081,4124,42
23499900,166.46,364756499451,15522,3258
23499100,190.10999999999999,377437927312,16062,3670
23798100,179.32999999999998,431316742081,18124,3591
24080600,175.38,507354351182,21069,3510
24368400,170.98,565055743243,23188,3491
24704400,165.01999999999995,593929550908,24041,3378
25390400,167.78000000000003,610328183643,24038,3593
26454400,163.6,592387689253,22393,3708
26944700,164.01999999999998,577170761956,21421,3803
27246000,161.91000000000003,578139279438,21219,3748
27618500,163.52,604031623433,21871,3968
27706600,162.89000000000001,628546387972,22686,3941
28085100,151.43000000000004,652825364726,23245,3681
28372536,150.12,631813279407,22268,3699
28681643,158.44000000000003,676082654641,23572,4074
29008565,139.00000000000003,742293448253,25589,3606
29262055,137.43,736379777893,25165,3694
29642114,137.73000000000002,757950678647,25570,3650
29958833,137.27,892380986368,29787,3765
30283966,131.66,1023196003075,33787,3613
30597090,133.84,1169357979865,38218,3743
30902962,126.42999999999999,1315415197461,42566,3512
31242631,127.45,1464977190206,46890,3611
31588641,127.59,1549131208997,49041,3705
31937357,130.66999999999996,1371153004986,42933,3890
32286140,132.67000000000002,1613464422811,49974,3951
32615418,125.02000000000001,1788647906048,54841,3728
32961196,127.87999999999998,1824288757448,55347,3926
33314836,133.09,1842628005830,55310,4054
10675400,108.91000000000003,17702885394,1658,683
10931700,90.94,18891048819,1728,654
11209000,89.42,22255407685,1985,693
11306000,94.89999999999999,26040229793,2303,697
11501000,100.44,29885685143,2599,725
11709000,91.86,33113887818,2828,743
11871000,98.83000000000003,37834793730,3187,787
12125000,78.88,45964327559,3791,658
12306400,103.18000000000002,49297773130,4006,740
12526600,95.33999999999999,57008425296,4551,801
12897643,108.91,73447063319,5695,930
13125089,95.71000000000001,78039572222,5946,917
13339550,100.13,84952360922,6368,910
13543940,109.77,81577430181,6023,1031
13743882,111.85999999999999,75173794497,5470,1041
13943575,149.18000000000004,77860932152,5584,1473
14139590,147.58,70979923960,5020,1625
14332840,149.28,69736811435,4866,1603
14523758,153.54,75643459840,5208,1654
14710993,155.69,99210392858,6744,1735
14893574,147.43,122964812046,8256,1682
15071596,155.06,154788024806,10270,1795
15245435,150.92000000000002,173605968179,11387,1848
15415661,167.88,179638496279,11653,2088
15584149,174.3,172389498445,11062,2148
15751851,162.87999999999997,218537551220,13874,2001
15910783,160.83999999999997,252251992029,15854,2027
16075247,148.41000000000003,267122320057,16617,1841
16242244,134.52,278384332694,17140,1738
16406867,137.36999999999998,260584090571,15883,1789
16565725,147.68,243999477738,14729,1838
25052400,62.559999999999995,34894411352,1393,1001
25585600,50.11000000000001,34942489684,1366,958
28009432,45.169999999999995,36373307085,1299,951
28649501,50.64,39212550050,1369,912
29289829,41.690000000000005,39540080200,1350,831
29930973,43.42999999999999,40274204595,1346,865
30584178,43.57,41239551378,1348,1010
29615400,49.480000000000004,49279585355,1664,1086
30242200,49.230000000000004,55802538219,1845,1085
30874600,55.949999999999996,81703500846,2646,1198
33090899,49.64,92507279383,2796,1150
33703636,53.17,97160109278,2883,1209
34338825,52.76999999999999,106659508271,3106,1242
34987039,81.67999999999999,98443739941,2814,2052
35629408,84.10000000000001,86186158685,2419,2143
36252342,89.77999999999999,99886577331,2755,2358
36884428,88.26999999999998,98203546156,2662,2412
37478276,81.38,97933391976,2613,2379
38044513,79.85000000000001,94684584163,2489,2269
38604716,84.25,117074863822,3033,2244
39172790,74.84,146566264837,3742,2102
39708676,78.41,162590146096,4095,2177
40275206,74.25000000000003,207416494642,5150,2181
40859129,74.22000000000001,243982437871,5971,2220
41436173,73.83000000000001,233821670544,5643,2249
41989103,67.24000000000001,287018184638,6836,2107
42538305,62.879999999999995,335415156702,7885,2044
43055864,66.45,369659700376,8586,2119
43546298,63.529999999999994,380191881860,8731,2068
44021800,66.62,378195716714,8591,2126
44490427,70.39999999999999,291519591533,6552,2332
2236200,69.46,4796628461,2145,128
2292900,89.84,5477895475,2389,131
2400700,85.56000000000002,5841132962,2433,119
2465200,88.98000000000002,6063759371,2460,138
2556000,84.76999999999998,6866402028,2686,167
2627800,93.27000000000002,7403457319,2817,157
2704000,61.72,7168999428,2651,125
2778400,72.54,8528593084,3070,149
2853700,98.83,9537297507,3342,164
2929100,80.78999999999999,10432619390,3562,162
3135200,79.17999999999999,11513472694,3672,209
3192446,94.86,11618286553,3639,209
3279559,80.63,12552071367,3827,187
3365726,92.09,13617405420,4046,223
3449923,85.06,14195623425,4115,233
3531421,88.28999999999998,14949514585,4233,239
3606850,76.03,15913363335,4412,198
3680372,95.62000000000002,16504795453,4485,275
3751871,115.88,17195867540,4583,315
3820857,100.72000000000001,18529767934,4850,325
3887096,78.73,19952156475,5133,272
3953916,100.83000000000001,22600431878,5716,350
4015241,75.35000000000001,26743874206,6661,270
4072561,72.26999999999998,30612932876,7517,261
4128459,77.37,30562361123,7403,278
4184663,84.35000000000001,37268635287,8906,311
4235514,89.83000000000001,42262697840,9978,316
4290210,80.75999999999999,46473128286,10832,302
4347229,89.25999999999999,49745088112,11443,311
4403674,70.85,50577769838,11485,268
4497400,305.53999999999996,22387561845,4978,929
4220800,334.78999999999996,23678012697,5610,1001
4295100,313.7,23822087053,5546,946
4227900,344.30000000000007,25432144406,6015,1029
4283800,327.28000000000003,23386945597,5459,989
4118000,322.75,21774273832,5288,926
4180633,287.54,23289671102,5571,881
4217300,304.12,26878499206,6373,874
4225600,281.68999999999994,34658113497,8202,865
4229600,302.24,41574530816,9829,871
4235875,269.56999999999994,45416358502,10722,874
4234946,248.21999999999994,50453577898,11914,796
4230855,243.45000000000002,60093222709,14204,775
4225583,265.68999999999994,70481451449,16680,793
4216050,254.29,62703143057,14872,790
4203963,241.97,59829574391,14232,776
4189029,221.10999999999999,62375044443,14890,702
4054296,239.01,56565475275,13952,776
4044457,210.29999999999995,58085856019,14362,692
4030452,222.04,57629518806,14299,722
4001669,229.67999999999998,49425513611,12351,739
3567043,213.55999999999997,51338524831,12905,683
9915600,369.71,22085858243,2227,2299
10004200,392.92999999999995,22367254865,2236,2374
10089300,363.31,28448326757,2820,2278
10168400,352.76000000000005,30429803651,2993,2222
10241600,316.2300000000001,25017300000,2443,2014
10260492,317.4,25366200000,2472,2029
10307978,326.97999999999996,25736331247,2497,2056
10350039,306.12000000000006,28364615242,2741,2050
10397209,272.77000000000004,30565400000,2940,1845
10433428,244.51,31682400000,3037,1652
10479415,240.42000000000004,33590500000,3205,1606
10531074,221.12,35901200000,3409,1499
10578701,216.12,38203000000,3611,1515
10616406,205.93999999999997,42643836075,4017,1397
10653638,202.54999999999995,52742800000,4951,1376
10678023,188.18000000000004,58603900000,5488,1307
10693814,190.98999999999995,60806300000,5686,1377
10708230,201.32999999999996,62080000000,5797,1477
10725848,202.13000000000002,64328000000,5997,1558
10748034,207.05,68990000000,6419,1529
10770535,204.0,73141000000,6791,1495
10792690,190.45999999999998,77148000000,7148,1499
10813411,184.62999999999997,80656100000,7459,1453
10832068,194.31,87132800000,8044,1511
856733,1.57,10614455232,12389,1
875229,8.36,10183317625,11635,7
690616,9.169999999999998,17422375000,25227,7
701263,24.739999999999995,18703146375,26671,17
713426,27.639999999999997,20403713461,28600,19
728566,36.17,24077470572,33048,19
747034,59.07000000000001,27839460964,37267,41
767174,55.53,25942622951,33816,32
787081,58.879999999999995,25562251656,32477,38
800820,43.78,27427161523,34249,30
814305,42.89999999999999,25041372222,30752,36
813016,64.61000000000001,24084572491,29624,45
804818,57.1,23359294149,29024,44
796037,49.589999999999996,19676167240,24718,40
711344,47.14999999999999,20153871681,25098,36
9710900,314.21999999999997,40477403220,4168,1997
9667500,292.01,29675502270,3070,1904
9681900,303.21,34590052812,3573,1991
9703400,297.64,40614350197,4186,1917
9723700,293.28000000000003,47554674591,4891,1872
9744300,264.4,59775697061,6134,1733
9763900,243.48,66985765439,6861,1568
9786700,234.13000000000002,61792161168,6314,1666
9808300,226.7,66490372105,6779,1613
9819215,236.93,64867483193,6606,1610
9819742,226.64000000000001,61649492817,6278,1649
9838083,220.92000000000002,67523642262,6863,1623
9752463,212.14999999999998,81910771994,8399,1534
9748550,234.88000000000005,99627140274,10220,1719
9746647,203.01999999999998,119162172468,12226,1583
9761733,193.39999999999998,136280689891,13961,1565
9780319,178.4,155463807113,15896,1400
9818295,170.78,189227050760,19273,1379
9899594,175.00999999999996,235718586901,23811,1379
9937407,179.70999999999995,206179982164,20748,1464
9945273,175.62,207477857919,20862,1502
9906318,186.23999999999998,227948349666,23010,1590
9923127,196.23,207376427021,20898,1658
9936780,186.07000000000002,209402444996,21073,1577
9963127,175.28999999999994,207818330724,20859,1489
9989325,170.86999999999998,186829940546,18703,1387
8929942,161.76,195305084919,19505,1318
4874900,253.22000000000003,156162311732,32034,999
4889100,239.13000000000005,185006961302,37841,924
4917300,229.55999999999997,187632400366,38158,892
4937300,218.46,173537588008,35148,817
4956400,188.68,176992000955,35710,763
4976200,183.09000000000003,177965224621,35763,762
4998610,181.07000000000002,164158800460,32841,728
5018451,186.17000000000002,164791416350,32837,727
5041222,176.51000000000002,178635160297,35435,688
5056783,156.7,218095997085,43129,633
5072927,161.78,251373036671,49552,661
5089852,164.23,264467308109,51960,631
5110460,162.08,282884912894,55354,650
5133001,139.95999999999998,319423370134,62229,581
5162525,143.04999999999998,353361056080,68447,603
5192790,144.7,321241396034,61863,622
5217785,130.02,321995350347,61711,563
5244150,126.33,344003209696,65598,589
5270539,143.20999999999998,327148899962,62071,661
5299698,134.54999999999998,343584385594,64831,610
5339166,137.73,352993633221,66114,629
5383060,121.42,301298464861,55972,564
66400,0.0,98585185,1485,0
7661800,82.51999999999998,17149094590,2238,393
7881300,76.54,15314143988,1943,377
8356800,62.53,13945431882,1669,390
8593200,75.28999999999999,13051886552,1519,466
8578619,70.38,13890828708,1619,431
8800933,60.48,15239278100,1732,448
9091700,66.96,16988535268,1869,494
9253155,75.80000000000001,18094238119,1955,505
9488483,70.91000000000001,18938717359,1996,574
9725255,67.67,22708673337,2335,512
9960563,68.22,24432884442,2453,546
10195848,76.34000000000002,25226393197,2474,593
10427773,67.02,28162053027,2701,579
10656446,62.07,27981896948,2626,546
10883283,71.92999999999999,19645272636,1805,616
11109383,57.17000000000001,18327764882,1650,534
11328328,67.24,24468324000,2160,584
11548770,61.42,28548945000,2472,577
11771002,70.56,32432858000,2755,675
11994153,84.38999999999999,36591661000,3051,791
12217643,96.73000000000002,41507085000,3397,943
12449374,93.07,46802044000,3759,900
12677354,95.97,51007777000,4024,1005
12903183,95.28999999999999,61762635000,4787,928
13130161,94.25,62519686000,4762,964
13360285,81.48999999999998,69555367000,5206,912
13583553,81.8,79276664000,5836,918
13815861,84.87999999999998,87924544000,6364,976
14054613,62.88000000000001,95129659000,6769,676
14295145,66.02000000000001,101726331000,7116,734
14534024,97.39,99290381000,6832,1073
4510552,184.46,4817542204,1068,571
4576985,171.29999999999998,5252342400,1148,474
4591600,120.61999999999999,5813399300,1266,419
4694300,123.69,6680269200,1423,424
4836397,159.19000000000003,8921947100,1845,620
4892391,145.16000000000003,9586327800,1959,540
4949302,140.00000000000003,10221705900,2065,577
5006338,122.82999999999998,10936669900,2185,512
5062759,127.96000000000001,11284197000,2229,515
5118189,110.55000000000001,11784927700,2303,461
5175094,129.70999999999998,12282533600,2373,514
5230458,113.19,12664190300,2421,436
5283542,128.92,13243892200,2507,527
5333170,111.55999999999999,13724810900,2573,464
5378879,115.73000000000002,14698001400,2733,455
5429044,99.57000000000001,15999886400,2947,411
5467861,127.14000000000003,17011750900,3111,501
